accuracy,log_loss,brier,rps,model,season,n_train,n_val,secs
0.4763157894736842,1.048716201386626,0.6326948255713296,0.23807426473770776,prior,2018,6080,380,0.007086753845214844
0.45263157894736844,1.0655505428924952,0.6440379951882985,0.2302362717940362,prior,2019,6460,380,0.006209373474121094
0.37894736842105264,1.0984778585094708,0.6688700796826375,0.24857050032488628,prior,2020,6840,380,0.006021738052368164
0.42894736842105263,1.0741120573759388,0.6507616577527798,0.23626064678754763,prior,2021,7220,380,0.005762815475463867
0.4842105263157895,1.0484081899402222,0.6318870844875345,0.22750128981994458,prior,2022,7600,380,0.005741119384765625
0.4605263157894737,1.0566858910127312,0.6384799404526353,0.23414487032116632,prior,2023,7980,380,0.005642414093017578
0.5947368421052631,0.9090269311904642,0.5317427080442989,0.19031043931983527,elo_logit,2018,6080,380,0.01879096031188965
0.5210526315789473,0.9781927936939334,0.581477365637715,0.20110735304496202,elo_logit,2019,6460,380,0.018450260162353516
0.5026315789473684,1.0507632481783156,0.6217535536276075,0.2251765745407458,elo_logit,2020,6840,380,0.021198749542236328
0.5368421052631579,0.9582921664096882,0.5685184499994457,0.1966638040326246,elo_logit,2021,7220,380,0.028977155685424805
0.5473684210526316,0.9818229104257248,0.5841974586484223,0.20394300718748282,elo_logit,2022,7600,380,0.02372574806213379
0.5684210526315789,0.9301258736348225,0.5480358558306616,0.19066801128601063,elo_logit,2023,7980,380,0.07727384567260742
0.6052631578947368,0.8983348980327228,0.526160784048872,0.18782215270058875,ratings_logit,2018,6080,380,0.13593244552612305
0.5236842105263158,0.9748552143458175,0.579267683176362,0.1997905885081688,ratings_logit,2019,6460,380,0.21048688888549805
0.5052631578947369,1.0405493514770396,0.6164397019078736,0.2221777804870616,ratings_logit,2020,6840,380,0.11191058158874512
0.5710526315789474,0.9515653584241771,0.5637964562482273,0.19417087441545286,ratings_logit,2021,7220,380,0.244307279586792
0.5157894736842106,0.9758905349321153,0.5810959606322188,0.2031837584867172,ratings_logit,2022,7600,380,0.12959909439086914
0.5868421052631579,0.9238586595307969,0.5438495763251925,0.1884978766948213,ratings_logit,2023,7980,380,0.08823013305664062
0.5921052631578947,0.9097518872633402,0.5324002548529758,0.18853784897427547,logreg,2018,6080,380,1.1862657070159912
0.531578947368421,0.9733545564137657,0.5780117513660168,0.1977762349917426,logreg,2019,6460,380,1.4045064449310303
0.5026315789473684,1.079845277803606,0.6345709892215889,0.23028372343332373,logreg,2020,6840,380,1.1957378387451172
0.55,0.9592001616940056,0.5670633803507958,0.19577356547131963,logreg,2021,7220,380,1.5758638381958008
0.531578947368421,1.0081338960888109,0.5921955043658087,0.2069996844036859,logreg,2022,7600,380,1.823854923248291
0.5552631578947368,0.934195929499834,0.5515664311556732,0.19009247951208458,logreg,2023,7980,380,1.985170602798462
0.6105263157894737,0.9081573722729437,0.5311754663600255,0.18930072295880973,random_forest,2018,6080,380,34.90068221092224
0.5263157894736842,0.9730670498317754,0.5773858074641913,0.1991646487362275,random_forest,2019,6460,380,37.53584337234497
0.5078947368421053,1.0347145745773427,0.6124714541328395,0.21961205915946733,random_forest,2020,6840,380,40.8698947429657
0.5684210526315789,0.963724782023738,0.5701223892945902,0.19673527731088974,random_forest,2021,7220,380,43.64196443557739
0.5210526315789473,0.9829760750907749,0.5838405090025172,0.20424205170076432,random_forest,2022,7600,380,45.60069513320923
0.5736842105263158,0.9319589872768885,0.548524036951428,0.18989801501499953,random_forest,2023,7980,380,48.41563701629639
0.6026315789473684,0.9024256997223885,0.5278635783787828,0.1886158480777887,xgboost,2018,6080,380,3.4217801094055176
0.5210526315789473,0.9683544951827842,0.5743949560370427,0.1981962192298183,xgboost,2019,6460,380,3.5252294540405273
0.5131578947368421,1.0266207647899679,0.6089616434916707,0.21900499652339822,xgboost,2020,6840,380,3.465658187866211
0.5657894736842105,0.9601649139735036,0.5686256858134019,0.19650285284832114,xgboost,2021,7220,380,3.2252652645111084
0.5289473684210526,0.9752049626332103,0.5797159894354071,0.20194944618452262,xgboost,2022,7600,380,3.3892180919647217
0.5763157894736842,0.924610704348072,0.5433551190735769,0.18799148535780072,xgboost,2023,7980,380,3.675795316696167
0.5947368421052631,0.9023373138253987,0.527438817901,0.18780195884866877,lightgbm,2018,6080,380,4.740216255187988
0.5184210526315789,0.9769850826760219,0.5795159896164725,0.1995179076061997,lightgbm,2019,6460,380,4.81948709487915
0.49736842105263157,1.0417380510473842,0.6167951705650796,0.22192046799845508,lightgbm,2020,6840,380,5.105859994888306
0.5421052631578948,0.9913309724136156,0.5873397907458667,0.20318151556104952,lightgbm,2021,7220,380,5.575611114501953
0.5394736842105263,0.9837342293866068,0.5843584659303311,0.20406193138603126,lightgbm,2022,7600,380,5.024732351303101
0.5815789473684211,0.9340091900485836,0.5490992823892669,0.19009553388223513,lightgbm,2023,7980,380,5.189241409301758
0.6052631578947368,0.899738707032161,0.5260677610717525,0.18750265123285512,ensemble,2018,6080,380,0.0
0.5289473684210526,0.9691088306159427,0.5749981143901532,0.19796572661787068,ensemble,2019,6460,380,0.0
0.5078947368421053,1.0372679838103014,0.6141413271011397,0.22127634191910145,ensemble,2020,6840,380,0.0
0.5657894736842105,0.9597499636902199,0.5681570552654402,0.1960966069070283,ensemble,2021,7220,380,0.0
0.5263157894736842,0.9777144701529306,0.5813249057008099,0.20303344078592964,ensemble,2022,7600,380,0.0
0.5763157894736842,0.9252099495879194,0.5442721086989555,0.18822649403916933,ensemble,2023,7980,380,0.0
